Airport;lat;lng
GRAZ airport;46.9918;15.4398
INNSBRUCK airport;47.2603;11.3439
KLAGENFURT airport;46.6432;14.3378
LINZ airport;48.2335;14.1872
SALZBURG airport;47.7958;13.0033
WIEN-SCHWECHAT airport;48.1102;16.5694
SARAJEVO airport;43.8246;18.3308
TUZLA airport;44.4608;18.7297
ANTWERPEN/DEURNE airport;51.1895;4.4602
BRUSSELS airport;50.9018;4.4856
CHARLEROI/BRUSSELS SOUTH airport;50.4593;4.4533
LIEGE airport;50.6377;5.4419
OOSTENDE/BRUGGE airport;51.1994;2.864
BURGAS airport;42.5697;27.515
PLOVDIV airport;42.0673;24.8561
SOFIA airport;42.6983;23.3235
VARNA airport;43.2323;27.817
BALE-MULHOUSE airport;47.5901;7.5256
GENEVA airport;46.2381;6.1089
SION airport;46.2235;7.3409
LUGANO airport;46.0022;8.9103
BERN-BELP airport;46.9065;7.5029
ZURICH airport;47.4522;8.5678
ST. GALLEN-ALTENRHEIN airport;47.4851;9.5583
LARNAKA/INTL airport;34.877;33.6247
PAFOS/INTL airport;34.7176;32.4841
KARLOVY VARY airport;50.2223;12.9157
OSTRAVA/MOSNOV airport;49.6974;18.1112
PARDUBICE airport;50.0735;15.7335
PRAHA/RUZYNE airport;50.1008;14.269
BRNO/TURANY airport;49.1558;16.6874
Other airport - GERMANY;51.1657;10.4515
Unknown airport - GERMANY;51.1657;10.4515
LEIPZIG-ALTENBURG airport;50.9856;12.5186
HERINGSDORF airport;53.8783;14.1528
MAGDEBURG/COCHSTEDT airport;51.8394;11.4172
BARTH airport;54.3475;12.7242
MAGDEBURG/CITY airport;52.126;11.666
RUEGEN airport;54.4098;13.4354
BERLIN-BRANDENBURG airport;52.3667;13.5033
DRESDEN airport;51.1215;13.7667
ERFURT-WEIMAR airport;51.0183;11.0592
FRANKFURT/MAIN airport;50.0333;8.5706
MUENSTER/OSNABRUECK airport;52.1347;7.6833
HAMBURG airport;53.6304;9.9882
BERLIN/TEMPELHOF airport;52.4735;13.3982
KOELN/BONN airport;50.8659;7.1427
DUESSELDORF airport;51.2895;6.7686
MUENCHEN airport;48.3533;11.7861
NUERNBERG airport;49.4975;11.0667
LEIPZIG/HALLE airport;51.4239;12.2363
SAARBRUECKEN airport;49.3855;7.1095
STUTTGART airport;48.6901;9.2023
BERLIN-TEGEL airport;52.5597;13.2877
HANNOVER airport;52.4608;9.6859
BREMEN airport;53.0475;8.8075
FRANKFURT-EGELSBACH airport;49.9576;8.6186
FRANKFURT-HAHN airport;49.9482;7.2629
MANNHEIM CITY airport;49.4714;8.5522
WORMS airport;49.6105;8.397
SIEGERLAND airport;50.7027;8.068
HAMBURG-FINKENWERDER airport;53.5414;9.8399
KIEL-HOLTENAU airport;54.3797;10.1508
LUEBECK-BLANKENSEE airport;53.805;10.7025
MEMMINGEN airport;47.9904;10.2394
BONN-HANGELAR airport;50.7302;7.135
ESSEN/MUELHEIM airport;51.4014;6.9419
MOENCHENGLADBACH airport;51.196;6.4632
PADERBORN/LIPPSTADT airport;51.6146;8.6163
NIEDERRHEIN airport;51.5245;6.1424
DORTMUND airport;51.5186;7.6122
AUGSBURG airport;48.435;10.9329
LANDSHUT airport;48.5636;12.1388
OBERPFAFFENHOFEN airport;48.0833;11.2833
STRAUBING airport;48.8683;12.5714
FRIEDRICHSHAFEN airport;47.6713;9.5103
STOELLN/RHINOW airport;52.7937;12.4346
BAYREUTH airport;49.9678;11.5796
HOF-PLAUEN airport;50.2529;11.9392
KOBLENZ-WINNINGEN airport;50.3663;7.5879
TRIER-FOEHREN airport;49.8242;6.7861
ZWEIBRUECKEN airport;49.2132;7.4013
KARLSRUHE/BADEN-BADEN airport;48.7797;8.0877
BADEN-OOS airport;48.7885;8.1368
DONAUESCHINGEN-VILLINGEN airport;47.9942;8.4879
FREIBURG I.BR. airport;47.9961;7.8522
SINSHEIM airport;49.2974;8.8856
OFFENBURG airport;48.4883;7.9427
KONSTANZ airport;47.6747;9.1678
BRAUNSCHWEIG-WOLFSBURG airport;52.3211;10.5369
KASSEL-CALDEN airport;51.4326;9.3878
BREMERHAVEN airport;53.5852;8.5831
LEMWERDER airport;53.1119;8.6014
EMDEN airport;53.3858;7.3111
WANGEROOGE airport;53.788;7.8937
JUIST airport;53.7142;7.0097
LANGEOOG airport;53.7592;7.576
BORKUM airport;53.5935;6.6718
NORDERNEY airport;53.7042;7.1803
HEIDE-BUESUM airport;54.1685;8.9745
FLENSBURG-SCHAEFERHAUS airport;54.7938;9.4172
HELGOLAND-DUENE airport;54.1856;7.9174
ST. PETER-ORDING airport;54.3013;8.8105
HARLE airport;53.7118;8.5828
SYLT airport;54.9126;8.3402
WYK AUF FOEHR airport;54.6853;8.435
