COUNTRY_ID,COUNTRY_NAME,TIME,ARRIVAL_VALUE,DEPARTURE_VALUE
AT,Austria,2002-01,483326,496291
AT,Austria,2002-02,504745,505222
AT,Austria,2002-03,612566,618710
AT,Austria,2002-04,589164,603010
AT,Austria,2002-05,676867,697082
AT,Austria,2002-06,764952,792080
AT,Austria,2002-07,791474,826048
AT,Austria,2002-08,831801,812282
AT,Austria,2002-09,803823,772269
AT,Austria,2002-10,685808,690397
AT,Austria,2002-11,564197,544298
AT,Austria,2002-12,555252,543137
AT,Austria,2003-01,555611,570371
AT,Austria,2003-02,558200,550985
AT,Austria,2003-03,611479,622063
AT,Austria,2003-04,586752,599515
AT,Austria,2003-05,662479,670688
AT,Austria,2003-06,775505,814700
AT,Austria,2003-07,831261,867945
AT,Austria,2003-08,905437,856904
AT,Austria,2003-09,839690,816946
AT,Austria,2003-10,746277,740338
AT,Austria,2003-11,619793,613943
AT,Austria,2003-12,632605,618611
AT,Austria,2004-01,618523,641086
AT,Austria,2004-02,643809,636938
AT,Austria,2004-03,704073,709712
AT,Austria,2004-04,746155,756553
AT,Austria,2004-05,826124,844382
AT,Austria,2004-06,893198,921667
AT,Austria,2004-07,975723,1038110
AT,Austria,2004-08,1008093,978067
AT,Austria,2004-09,974932,937601
AT,Austria,2004-10,834237,821615
AT,Austria,2004-11,677714,674432
AT,Austria,2004-12,693019,669196
AT,Austria,2005-01,673699,689094
AT,Austria,2005-02,666898,666544
AT,Austria,2005-03,795845,793768
AT,Austria,2005-04,771374,791513
AT,Austria,2005-05,900502,905534
AT,Austria,2005-06,949268,986015
AT,Austria,2005-07,1056533,1113721
AT,Austria,2005-08,1050790,1022332
AT,Austria,2005-09,1041518,1001762
AT,Austria,2005-10,875998,879579
AT,Austria,2005-11,732316,712949
AT,Austria,2005-12,744525,724852
AT,Austria,2006-01,737808,753336
AT,Austria,2006-02,728828,730175
AT,Austria,2006-03,830723,840653
AT,Austria,2006-04,865282,880278
AT,Austria,2006-05,935252,939272
AT,Austria,2006-06,1010759,1051025
AT,Austria,2006-07,1092379,1134250
AT,Austria,2006-08,1088540,1068300
AT,Austria,2006-09,1084711,1036187
AT,Austria,2006-10,910556,923249
AT,Austria,2006-11,770263,746782
AT,Austria,2006-12,809128,780616
AT,Austria,2007-01,785658,817508
AT,Austria,2007-02,803407,803158
AT,Austria,2007-03,941717,960460
AT,Austria,2007-04,930017,936345
AT,Austria,2007-05,991071,1001986
AT,Austria,2007-06,1084398,1122638
AT,Austria,2007-07,1160273,1204298
AT,Austria,2007-08,1186081,1149963
AT,Austria,2007-09,1162904,1120240
AT,Austria,2007-10,1026055,1044040
AT,Austria,2007-11,929815,899514
AT,Austria,2007-12,931140,892213
AT,Austria,2008-01,883745,914997
AT,Austria,2008-02,938110,943162
AT,Austria,2008-03,1092377,1103869
AT,Austria,2008-04,1010281,1025314
AT,Austria,2008-05,1108881,1116410
AT,Austria,2008-06,1145409,1183914
AT,Austria,2008-07,1185827,1231996
AT,Austria,2008-08,1213907,1189238
AT,Austria,2008-09,1157200,1116745
AT,Austria,2008-10,1010602,1007299
AT,Austria,2008-11,829473,826360
AT,Austria,2008-12,845345,814962
AT,Austria,2009-01,794208,825100
AT,Austria,2009-02,791724,788348
AT,Austria,2009-03,900796,912650
AT,Austria,2009-04,918276,931548
